SampleID	SampleName	AlignedFrags	Cluster1	Cluster2	ClusterCenterDist
01	TAF008.B0102.SG1.1_sorted_md_classic_n245414	245414	1.0	0.0	0.6164
02	PES001.B0103.SG1.1_sorted_md_classic_n34803	34803	1.0	0.0	0.3901
03	FUM002.A0103.SG1.1_sorted_md_classic_n8272	8272	1.0	0.0	0.5488
04	ECO002.B0102.SG1.1_sorted_md_classic_n99145	99145	1.0	0.0	0.622
05	OAK002.A0102.SG1.1_sorted_md_classic_n117874	117874	1.0	0.0	1.0
06	EMN001.A0102.SG1.1_sorted_md_classic_n118127	118127	1.0	0.0	0.129
07	OAK005.A0102.SG1.1_sorted_md_classic_n270210	270210	1.0	0.0	0.4972
08	DJA002.A0102.SG1.1_sorted_md_classic_n1538844	1538844	1.0	0.0	0.3919
09	OME007.A0101_sorted_md_classic_n2852	2852	1.0	0.0	0.933
10	EBO003.A0102.SG1.1_sorted_md_classic_n402309	402309	1.0	0.0	0.4985
11	OME003.A0102.SG1.1_sorted_md_classic_n81895	81895	1.0	0.0	0.6744
12	OME005.A0102.SG1.1_sorted_md_classic_n71298	71298	1.0	0.0	0.6222
13	ECO004.B0103.SG1.1_sorted_md_classic_n149685	149685	1.0	0.0	0.7308
14	OME002.A0102.SG1.1_sorted_md_classic_n54668	54668	1.0	0.0	0.4851
15	TAF017.A0101_sorted_md_classic_n8239	8239	0.0	1.0	0.6588
16	DJA006.A0101.171215_sorted_md_classic_n65455	65455	0.0	1.0	0.5978
17	OAK001.A0101_sorted_md_classic_n19567	19567	0.0	1.0	0.6776
18	EBO008.A0101.171215_sorted_md_classic_n37834	37834	0.0	1.0	0.6536
19	EBO009.A0101_sorted_md_classic_n8279	8279	0.0	1.0	0.3256
20	EBO003.A0101_sorted_md_classic_n102068	102068	0.0	1.0	0.6421
21	ECO010.B0101_sorted_md_classic_n17221	17221	0.0	1.0	0.638
22	EBO009.A0101.171215_sorted_md_classic_n8577	8577	0.0	1.0	0.3069
23	ECO002.C0101_sorted_md_classic_n39924	39924	0.0	1.0	0.6657
24	EMN001.A0101_sorted_md_classic_n13653	13653	0.0	1.0	0.2128
25	PES001.B0101_sorted_md_classic_n7119	7119	0.0	1.0	0.2956
26	DJA002.A0101_sorted_md_classic_n247246	247246	0.0	1.0	0.4185
27	OME002.A0101_sorted_md_classic_n10169	10169	0.0	1.0	0.8111
28	TAF018.A0101_sorted_md_classic_n1711	1711	0.0	1.0	0.4216
29	OAK004.A0101_sorted_md_classic_n29027	29027	0.0	1.0	0.6101
30	FUM001.A0101_sorted_md_classic_n5662	5662	0.0	1.0	0.3892
31	ECO006.B0101_sorted_md_classic_n796	796	0.0	1.0	0.3648
32	TAF017.C0101_sorted_md_classic_n4703	4703	0.0	1.0	0.6579
33	TAF017.C0101.171215_sorted_md_classic_n4682	4682	0.0	1.0	0.6419
34	ECO002.B0101_sorted_md_classic_n24381	24381	0.0	1.0	0.6108
35	EBO008.A0101_sorted_md_classic_n17825	17825	0.0	1.0	0.6732
36	OAK003.A0101_sorted_md_classic_n195287	195287	0.0	1.0	0.1393
37	DJA007.A0101.171215_sorted_md_classic_n169947	169947	0.0	1.0	0.6302
38	EBO001.A0101_sorted_md_classic_n17988	17988	0.0	1.0	0.7582
39	TAF008.B0101_sorted_md_classic_n44039	44039	0.0	1.0	0.4648
40	ECO004.C0101_sorted_md_classic_n20688	20688	0.0	1.0	0.6615
41	OAK005.A0101_sorted_md_classic_n159246	159246	0.0	1.0	0.4357
42	FUM002.A0101_sorted_md_classic_n4157	4157	0.0	1.0	0.2945
43	ECO004.B0101_sorted_md_classic_n35193	35193	0.0	1.0	0.7946
44	OME003.A0101_sorted_md_classic_n16862	16862	0.0	1.0	0.7264
45	DJA006.A0101_sorted_md_classic_n23929	23929	0.0	1.0	0.6398
46	FUM003.A0101_sorted_md_classic_n1732	1732	0.0	1.0	0.3163
47	DJA007.A0101_sorted_md_classic_n85298	85298	0.0	1.0	0.6105
48	TAF018.B0101_sorted_md_classic_n10561	10561	0.0	1.0	0.4365
49	OME005.A0101_sorted_md_classic_n5044	5044	0.0009	0.9991	1.0
