SampleID	SampleName	AlignedFrags	Cluster1	Cluster2	Cluster3	Cluster4	ClusterCenterDist
01	TAF008.B0102.SG1.1_sorted_md_classic_n245414	245414	1.0	0.0	0.0	0.0	0.6164
02	PES001.B0103.SG1.1_sorted_md_classic_n34803	34803	1.0	0.0	0.0	0.0	0.3901
03	FUM002.A0103.SG1.1_sorted_md_classic_n8272	8272	1.0	0.0	0.0	0.0	0.5488
04	ECO002.B0102.SG1.1_sorted_md_classic_n99145	99145	1.0	0.0	0.0	0.0	0.622
05	OAK002.A0102.SG1.1_sorted_md_classic_n117874	117874	1.0	0.0	0.0	0.0	1.0
06	EMN001.A0102.SG1.1_sorted_md_classic_n118127	118127	1.0	0.0	0.0	0.0	0.129
07	OAK005.A0102.SG1.1_sorted_md_classic_n270210	270210	1.0	0.0	0.0	0.0	0.4972
08	DJA002.A0102.SG1.1_sorted_md_classic_n1538844	1538844	1.0	0.0	0.0	0.0	0.3919
09	OME007.A0101_sorted_md_classic_n2852	2852	1.0	0.0	0.0	0.0	0.933
10	EBO003.A0102.SG1.1_sorted_md_classic_n402309	402309	1.0	0.0	0.0	0.0	0.4985
11	OME003.A0102.SG1.1_sorted_md_classic_n81895	81895	1.0	0.0	0.0	0.0	0.6744
12	OME005.A0102.SG1.1_sorted_md_classic_n71298	71298	1.0	0.0	0.0	0.0	0.6222
13	ECO004.B0103.SG1.1_sorted_md_classic_n149685	149685	1.0	0.0	0.0	0.0	0.7308
14	OME002.A0102.SG1.1_sorted_md_classic_n54668	54668	1.0	0.0	0.0	0.0	0.4851
15	DJA006.A0101.171215_sorted_md_classic_n65455	65455	0.0	1.0	0.0	0.0	0.1179
16	EBO008.A0101.171215_sorted_md_classic_n37834	37834	0.0	1.0	0.0	0.0	0.1569
17	EBO003.A0101_sorted_md_classic_n102068	102068	0.0	1.0	0.0	0.0	0.1235
18	DJA002.A0101_sorted_md_classic_n247246	247246	0.0	1.0	0.0	0.0	0.7933
19	OME002.A0101_sorted_md_classic_n10169	10169	0.0	1.0	0.0	0.0	0.5672
20	OME005.A0101_sorted_md_classic_n5044	5044	0.0	1.0	0.0	0.0	1.0
21	EBO008.A0101_sorted_md_classic_n17825	17825	0.0	1.0	0.0	0.0	0.2525
22	DJA007.A0101.171215_sorted_md_classic_n169947	169947	0.0	1.0	0.0	0.0	0.0997
23	EBO001.A0101_sorted_md_classic_n17988	17988	0.0	1.0	0.0	0.0	0.5855
24	OME003.A0101_sorted_md_classic_n16862	16862	0.0	1.0	0.0	0.0	0.3469
25	DJA006.A0101_sorted_md_classic_n23929	23929	0.0	1.0	0.0	0.0	0.2129
26	DJA007.A0101_sorted_md_classic_n85298	85298	0.0	1.0	0.0	0.0	0.0918
27	EBO009.A0101_sorted_md_classic_n8279	8279	0.0	0.9998	0.0002	0.0	0.8575
28	EBO009.A0101.171215_sorted_md_classic_n8577	8577	0.0	0.9935	0.0065	0.0	0.9316
29	EMN001.A0101_sorted_md_classic_n13653	13653	0.0	0.0	1.0	0.0	0.4637
30	PES001.B0101_sorted_md_classic_n7119	7119	0.0	0.0	1.0	0.0	0.5058
31	TAF018.A0101_sorted_md_classic_n1711	1711	0.0	0.0	1.0	0.0	0.5253
32	OAK004.A0101_sorted_md_classic_n29027	29027	0.0	0.0	1.0	0.0	1.0
33	FUM001.A0101_sorted_md_classic_n5662	5662	0.0	0.0	1.0	0.0	0.5883
34	ECO006.B0101_sorted_md_classic_n796	796	0.0	0.0	1.0	0.0	0.4255
35	OAK003.A0101_sorted_md_classic_n195287	195287	0.0	0.0	1.0	0.0	0.6379
36	TAF008.B0101_sorted_md_classic_n44039	44039	0.0	0.0	1.0	0.0	0.4284
37	OAK005.A0101_sorted_md_classic_n159246	159246	0.0	0.0	1.0	0.0	0.8228
38	FUM002.A0101_sorted_md_classic_n4157	4157	0.0	0.0	1.0	0.0	0.2103
39	FUM003.A0101_sorted_md_classic_n1732	1732	0.0	0.0	1.0	0.0	0.8635
40	TAF018.B0101_sorted_md_classic_n10561	10561	0.0	0.0	1.0	0.0	0.4289
41	TAF017.A0101_sorted_md_classic_n8239	8239	0.0	0.0	0.9998	0.0002	0.9642
42	ECO010.B0101_sorted_md_classic_n17221	17221	0.0	0.0	0.0	1.0	0.2781
43	ECO002.C0101_sorted_md_classic_n39924	39924	0.0	0.0	0.0	1.0	0.1984
44	TAF017.C0101_sorted_md_classic_n4703	4703	0.0	0.0	0.0	1.0	0.3893
45	TAF017.C0101.171215_sorted_md_classic_n4682	4682	0.0	0.0	0.0	1.0	0.4118
46	ECO002.B0101_sorted_md_classic_n24381	24381	0.0	0.0	0.0	1.0	0.3473
47	ECO004.C0101_sorted_md_classic_n20688	20688	0.0	0.0	0.0	1.0	0.1744
48	ECO004.B0101_sorted_md_classic_n35193	35193	0.0	0.0	0.0	1.0	1.0
49	OAK001.A0101_sorted_md_classic_n19567	19567	0.0	0.0	0.0022	0.9978	0.9267
