SampleID	SampleName	AlignedFrags	Cluster1	Cluster2	Cluster3	Cluster4	Cluster5	ClusterCenterDist
01	OME005.A0101_sorted_md_classic_n5044	5044	1.0	0.0	0.0	0.0	0.0	1.0
02	OME007.A0101_sorted_md_classic_n2852	2852	1.0	0.0	0.0	0.0	0.0	0.6196
03	FUM002.A0103.SG1.1_sorted_md_classic_n8272	8272	1.0	0.0	0.0	0.0	0.0	0.4407
04	EBO003.A0102.SG1.1_sorted_md_classic_n402309	402309	1.0	0.0	0.0	0.0	0.0	0.4257
05	OAK002.A0102.SG1.1_sorted_md_classic_n117874	117874	1.0	0.0	0.0	0.0	0.0	0.6631
06	TAF008.B0102.SG1.1_sorted_md_classic_n245414	245414	1.0	0.0	0.0	0.0	0.0	0.5029
07	EMN001.A0102.SG1.1_sorted_md_classic_n118127	118127	1.0	0.0	0.0	0.0	0.0	0.1476
08	OAK005.A0102.SG1.1_sorted_md_classic_n270210	270210	1.0	0.0	0.0	0.0	0.0	0.4314
09	OME005.A0102.SG1.1_sorted_md_classic_n71298	71298	1.0	0.0	0.0	0.0	0.0	0.4633
10	ECO002.B0102.SG1.1_sorted_md_classic_n99145	99145	1.0	0.0	0.0	0.0	0.0	0.4893
11	DJA002.A0102.SG1.1_sorted_md_classic_n1538844	1538844	1.0	0.0	0.0	0.0	0.0	0.3428
12	ECO004.B0103.SG1.1_sorted_md_classic_n149685	149685	1.0	0.0	0.0	0.0	0.0	0.4987
13	OME003.A0102.SG1.1_sorted_md_classic_n81895	81895	1.0	0.0	0.0	0.0	0.0	0.4793
14	PES001.B0103.SG1.1_sorted_md_classic_n34803	34803	1.0	0.0	0.0	0.0	0.0	0.332
15	OME002.A0102.SG1.1_sorted_md_classic_n54668	54668	1.0	0.0	0.0	0.0	0.0	0.353
16	EBO008.A0101.171215_sorted_md_classic_n37834	37834	0.0	1.0	0.0	0.0	0.0	0.3066
17	DJA006.A0101_sorted_md_classic_n23929	23929	0.0	1.0	0.0	0.0	0.0	0.3568
18	EBO003.A0101_sorted_md_classic_n102068	102068	0.0	1.0	0.0	0.0	0.0	0.3704
19	OME002.A0101_sorted_md_classic_n10169	10169	0.0	1.0	0.0	0.0	0.0	0.9735
20	DJA007.A0101.171215_sorted_md_classic_n169947	169947	0.0	1.0	0.0	0.0	0.0	0.2788
21	DJA006.A0101.171215_sorted_md_classic_n65455	65455	0.0	1.0	0.0	0.0	0.0	0.4076
22	OME003.A0101_sorted_md_classic_n16862	16862	0.0	1.0	0.0	0.0	0.0	0.7051
23	EBO008.A0101_sorted_md_classic_n17825	17825	0.0	1.0	0.0	0.0	0.0	0.3968
24	EBO001.A0101_sorted_md_classic_n17988	17988	0.0	1.0	0.0	0.0	0.0	1.0
25	DJA007.A0101_sorted_md_classic_n85298	85298	0.0	1.0	0.0	0.0	0.0	0.3689
26	FUM001.A0101_sorted_md_classic_n5662	5662	0.0	0.0	1.0	0.0	0.0	0.6496
27	EBO009.A0101_sorted_md_classic_n8279	8279	0.0	0.0	1.0	0.0	0.0	0.8105
28	ECO006.B0101_sorted_md_classic_n796	796	0.0	0.0	1.0	0.0	0.0	0.5306
29	FUM003.A0101_sorted_md_classic_n1732	1732	0.0	0.0	1.0	0.0	0.0	0.5416
30	DJA002.A0101_sorted_md_classic_n247246	247246	0.0	0.0	1.0	0.0	0.0	1.0
31	EMN001.A0101_sorted_md_classic_n13653	13653	0.0	0.0	1.0	0.0	0.0	0.2416
32	PES001.B0101_sorted_md_classic_n7119	7119	0.0	0.0	1.0	0.0	0.0	0.375
33	OAK003.A0101_sorted_md_classic_n195287	195287	0.0	0.0	1.0	0.0	0.0	0.2073
34	EBO009.A0101.171215_sorted_md_classic_n8577	8577	0.0	0.0	1.0	0.0	0.0	0.7677
35	TAF018.A0101_sorted_md_classic_n1711	1711	0.0	0.0	1.0	0.0	0.0	0.6327
36	FUM002.A0101_sorted_md_classic_n4157	4157	0.0	0.0	0.9925	0.0	0.0075	0.4705
37	TAF018.B0101_sorted_md_classic_n10561	10561	0.0	0.0	0.8449	0.0	0.1551	0.7107
38	ECO002.B0101_sorted_md_classic_n24381	24381	0.0	0.0	0.0	1.0	0.0	0.7527
39	ECO004.C0101_sorted_md_classic_n20688	20688	0.0	0.0	0.0	1.0	0.0	0.5135
40	ECO010.B0101_sorted_md_classic_n17221	17221	0.0	0.0	0.0	1.0	0.0	0.5997
41	ECO002.C0101_sorted_md_classic_n39924	39924	0.0	0.0	0.0	1.0	0.0	0.6064
42	TAF017.C0101.171215_sorted_md_classic_n4682	4682	0.0	0.0	0.0	0.9999	0.0001	0.9769
43	TAF017.C0101_sorted_md_classic_n4703	4703	0.0	0.0	0.0	0.9999	0.0001	1.0
44	OAK004.A0101_sorted_md_classic_n29027	29027	0.0	0.0	0.0	0.0	1.0	0.6971
45	TAF017.A0101_sorted_md_classic_n8239	8239	0.0	0.0	0.0	0.0	1.0	0.6819
46	OAK001.A0101_sorted_md_classic_n19567	19567	0.0	0.0	0.0	0.0	1.0	0.8976
47	ECO004.B0101_sorted_md_classic_n35193	35193	0.0	0.0	0.0	0.0	1.0	0.7456
48	TAF008.B0101_sorted_md_classic_n44039	44039	0.0	0.0	0.0028	0.0	0.9972	0.7421
49	OAK005.A0101_sorted_md_classic_n159246	159246	0.0	0.0	0.0046	0.0	0.9954	1.0
