SampleID	SampleName	AlignedFrags	Cluster1	Cluster2	Cluster3	ClusterCenterDist
0001	VLC_EMN_TAF_min10k_sorted_md_k141_18928_n2177	2177	1.0	0.0	0.0	0.1952
0002	VLC_EMN_TAF_min10k_sorted_md_k141_224793_n4241	4241	1.0	0.0	0.0	0.1212
0003	VLC_EMN_TAF_min10k_sorted_md_k141_28904_n8280	8280	1.0	0.0	0.0	0.1104
0004	VLC_EMN_TAF_min10k_sorted_md_k141_176774_n1149	1149	1.0	0.0	0.0	0.1784
0005	VLC_EMN_TAF_min10k_sorted_md_k141_16018_n8445	8445	1.0	0.0	0.0	0.1844
0006	VLC_EMN_TAF_min10k_sorted_md_k141_162008_n6223	6223	1.0	0.0	0.0	0.1615
0007	VLC_EMN_TAF_min10k_sorted_md_k141_57094_n4088	4088	1.0	0.0	0.0	0.1344
0008	VLC_EMN_TAF_min10k_sorted_md_k141_61055_n1481	1481	1.0	0.0	0.0	0.2559
0009	VLC_EMN_TAF_min10k_sorted_md_k141_76461_n3667	3667	1.0	0.0	0.0	0.3126
0010	VLC_EMN_TAF_min10k_sorted_md_k141_224173_n1825	1825	1.0	0.0	0.0	0.2762
0011	VLC_EMN_TAF_min10k_sorted_md_k141_17947_n2193	2193	1.0	0.0	0.0	0.1324
0012	VLC_EMN_TAF_min10k_sorted_md_k141_141872_n6274	6274	1.0	0.0	0.0	0.1037
0013	VLC_EMN_TAF_min10k_sorted_md_k141_109115_n6294	6294	1.0	0.0	0.0	0.1676
0014	VLC_EMN_TAF_min10k_sorted_md_k141_223684_n3252	3252	1.0	0.0	0.0	0.1494
0015	VLC_EMN_TAF_min10k_sorted_md_k141_5354_n1313	1313	1.0	0.0	0.0	0.2741
0016	VLC_EMN_TAF_min10k_sorted_md_k141_222789_n8151	8151	1.0	0.0	0.0	0.1512
0017	VLC_EMN_TAF_min10k_sorted_md_k141_226099_n5164	5164	1.0	0.0	0.0	0.1233
0018	VLC_EMN_TAF_min10k_sorted_md_k141_172269_n9248	9248	1.0	0.0	0.0	0.1996
0019	VLC_EMN_TAF_min10k_sorted_md_k141_134898_n1709	1709	1.0	0.0	0.0	0.1738
0020	VLC_EMN_TAF_min10k_sorted_md_k141_218288_n8546	8546	1.0	0.0	0.0	0.1408
0021	VLC_EMN_TAF_min10k_sorted_md_k141_137430_n2206	2206	1.0	0.0	0.0	0.1236
0022	VLC_EMN_TAF_min10k_sorted_md_k141_95852_n11651	11651	1.0	0.0	0.0	0.0735
0023	VLC_EMN_TAF_min10k_sorted_md_k141_121107_n6727	6727	1.0	0.0	0.0	0.1304
0024	VLC_EMN_TAF_min10k_sorted_md_k141_71990_n3413	3413	1.0	0.0	0.0	0.2568
0025	VLC_EMN_TAF_min10k_sorted_md_k141_14699_n1427	1427	1.0	0.0	0.0	0.2154
0026	VLC_EMN_TAF_min10k_sorted_md_k141_12813_n11232	11232	1.0	0.0	0.0	0.5231
0027	VLC_EMN_TAF_min10k_sorted_md_k141_98576_n5699	5699	1.0	0.0	0.0	0.1544
0028	VLC_EMN_TAF_min10k_sorted_md_k141_88472_n8095	8095	1.0	0.0	0.0	0.1506
0029	VLC_EMN_TAF_min10k_sorted_md_k141_170295_n3567	3567	1.0	0.0	0.0	0.4337
0030	VLC_EMN_TAF_min10k_sorted_md_k141_187388_n3845	3845	1.0	0.0	0.0	0.1464
0031	VLC_EMN_TAF_min10k_sorted_md_k141_127398_n3854	3854	1.0	0.0	0.0	0.1991
0032	VLC_EMN_TAF_min10k_sorted_md_k141_202388_n4132	4132	1.0	0.0	0.0	0.2205
0033	VLC_EMN_TAF_min10k_sorted_md_k141_196776_n1734	1734	1.0	0.0	0.0	0.1511
0034	VLC_EMN_TAF_min10k_sorted_md_k141_86336_n13970	13970	1.0	0.0	0.0	0.4343
0035	VLC_EMN_TAF_min10k_sorted_md_k141_194994_n8950	8950	1.0	0.0	0.0	0.1762
0036	VLC_EMN_TAF_min10k_sorted_md_k141_162521_n4811	4811	1.0	0.0	0.0	0.2155
0037	VLC_EMN_TAF_min10k_sorted_md_k141_78606_n2523	2523	1.0	0.0	0.0	0.1856
0038	VLC_EMN_TAF_min10k_sorted_md_k141_107542_n4828	4828	1.0	0.0	0.0	0.108
0039	VLC_EMN_TAF_min10k_sorted_md_k141_17777_n2702	2702	1.0	0.0	0.0	0.2296
0040	VLC_EMN_TAF_min10k_sorted_md_k141_6107_n2611	2611	1.0	0.0	0.0	0.1262
0041	VLC_EMN_TAF_min10k_sorted_md_k141_21869_n3785	3785	1.0	0.0	0.0	0.1031
0042	VLC_EMN_TAF_min10k_sorted_md_k141_79490_n3053	3053	1.0	0.0	0.0	0.1701
0043	VLC_EMN_TAF_min10k_sorted_md_k141_137270_n2783	2783	1.0	0.0	0.0	0.1573
0044	VLC_EMN_TAF_min10k_sorted_md_k141_172414_n2551	2551	1.0	0.0	0.0	0.4046
0045	VLC_EMN_TAF_min10k_sorted_md_k141_62684_n5125	5125	1.0	0.0	0.0	0.2053
0046	VLC_EMN_TAF_min10k_sorted_md_k141_224012_n2044	2044	1.0	0.0	0.0	0.2051
0047	VLC_EMN_TAF_min10k_sorted_md_k141_191294_n1570	1570	1.0	0.0	0.0	0.2454
0048	VLC_EMN_TAF_min10k_sorted_md_k141_217229_n1537	1537	1.0	0.0	0.0	0.2781
