SampleID	SampleName	AlignedFrags	Cluster1	Cluster2	Cluster3	Cluster4	Cluster5	Cluster6	ClusterCenterDist
0001	VLC_EMN_TAF_min10k_sorted_md_k141_162419_n1339	1339	1.0	0.0	0.0	0.0	0.0	0.0	0.4587
0002	VLC_EMN_TAF_min10k_sorted_md_k141_185221_n1017	1017	1.0	0.0	0.0	0.0	0.0	0.0	1.0
0003	VLC_EMN_TAF_min10k_sorted_md_k141_38199_n3308	3308	1.0	0.0	0.0	0.0	0.0	0.0	0.5141
0004	VLC_EMN_TAF_min10k_sorted_md_k141_172930_n1524	1524	1.0	0.0	0.0	0.0	0.0	0.0	0.5315
0005	VLC_EMN_TAF_min10k_sorted_md_k141_43938_n1159	1159	1.0	0.0	0.0	0.0	0.0	0.0	0.8753
0006	VLC_EMN_TAF_min10k_sorted_md_k141_159560_n1069	1069	1.0	0.0	0.0	0.0	0.0	0.0	0.5938
0007	VLC_EMN_TAF_min10k_sorted_md_k141_53240_n1547	1547	1.0	0.0	0.0	0.0	0.0	0.0	0.6186
0008	VLC_EMN_TAF_min10k_sorted_md_k141_204947_n1310	1310	1.0	0.0	0.0	0.0	0.0	0.0	0.7747
0009	VLC_EMN_TAF_min10k_sorted_md_k141_81049_n5609	5609	1.0	0.0	0.0	0.0	0.0	0.0	0.4351
0010	VLC_EMN_TAF_min10k_sorted_md_k141_148975_n1769	1769	1.0	0.0	0.0	0.0	0.0	0.0	0.4709
0011	VLC_EMN_TAF_min10k_sorted_md_k141_65470_n6948	6948	1.0	0.0	0.0	0.0	0.0	0.0	0.2785
0012	VLC_EMN_TAF_min10k_sorted_md_k141_173305_n1580	1580	1.0	0.0	0.0	0.0	0.0	0.0	0.7309
0013	VLC_EMN_TAF_min10k_sorted_md_k141_30564_n7461	7461	1.0	0.0	0.0	0.0	0.0	0.0	0.2909
0014	VLC_EMN_TAF_min10k_sorted_md_k141_5678_n1025	1025	1.0	0.0	0.0	0.0	0.0	0.0	0.8041
0015	VLC_EMN_TAF_min10k_sorted_md_k141_179788_n1854	1854	1.0	0.0	0.0	0.0	0.0	0.0	0.9079
0016	VLC_EMN_TAF_min10k_sorted_md_k141_213105_n1062	1062	1.0	0.0	0.0	0.0	0.0	0.0	0.7326
0017	VLC_EMN_TAF_min10k_sorted_md_k141_215876_n1983	1983	1.0	0.0	0.0	0.0	0.0	0.0	0.4748
0018	VLC_EMN_TAF_min10k_sorted_md_k141_31527_n13377	13377	1.0	0.0	0.0	0.0	0.0	0.0	0.1948
0019	VLC_EMN_TAF_min10k_sorted_md_k141_135687_n9653	9653	1.0	0.0	0.0	0.0	0.0	0.0	0.3271
0020	VLC_EMN_TAF_min10k_sorted_md_k141_77698_n2891	2891	1.0	0.0	0.0	0.0	0.0	0.0	0.4422
0021	VLC_EMN_TAF_min10k_sorted_md_k141_75679_n1396	1396	1.0	0.0	0.0	0.0	0.0	0.0	0.4545
0022	VLC_EMN_TAF_min10k_sorted_md_k141_193234_n1349	1349	1.0	0.0	0.0	0.0	0.0	0.0	0.4674
0023	VLC_EMN_TAF_min10k_sorted_md_k141_114092_n16029	16029	1.0	0.0	0.0	0.0	0.0	0.0	0.3994
0024	VLC_EMN_TAF_min10k_sorted_md_k141_102880_n4074	4074	1.0	0.0	0.0	0.0	0.0	0.0	0.2692
0025	VLC_EMN_TAF_min10k_sorted_md_k141_114078_n5630	5630	1.0	0.0	0.0	0.0	0.0	0.0	0.4938
0026	VLC_EMN_TAF_min10k_sorted_md_k141_96823_n1009	1009	1.0	0.0	0.0	0.0	0.0	0.0	0.6942
0027	VLC_EMN_TAF_min10k_sorted_md_k141_49096_n5391	5391	1.0	0.0	0.0	0.0	0.0	0.0	0.2174
0028	VLC_EMN_TAF_min10k_sorted_md_k141_87192_n1066	1066	1.0	0.0	0.0	0.0	0.0	0.0	0.7013
0029	VLC_EMN_TAF_min10k_sorted_md_k141_109063_n3699	3699	1.0	0.0	0.0	0.0	0.0	0.0	0.357
0030	VLC_EMN_TAF_min10k_sorted_md_k141_154869_n1113	1113	1.0	0.0	0.0	0.0	0.0	0.0	0.5409
