SampleID	SampleName	AlignedFrags	Cluster1	Cluster2	ClusterCenterDist
001	HG02256.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n167681471	167681471	1.0	0.0	0.3854
002	HG02053.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n235122107	235122107	1.0	0.0	0.2013
003	HG02144.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n243586451	243586451	1.0	0.0	0.0984
004	HG01958.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n167337941	167337941	1.0	0.0	0.3013
005	HG02111.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n215775296	215775296	1.0	0.0	0.1445
006	HG01890.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n412619894	412619894	1.0	0.0	0.2
007	HG02095.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n337212617	337212617	1.0	0.0	0.2721
008	HG01912.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n161287640	161287640	1.0	0.0	0.2597
009	HG02307.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n204036571	204036571	1.0	0.0	0.1197
010	HG01886.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n454195598	454195598	1.0	0.0	0.7217
011	HG02051.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n215780148	215780148	1.0	0.0	0.2127
012	HG02283.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n502730918	502730918	1.0	0.0	0.817
013	HG02284.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n446080771	446080771	1.0	0.0	0.8346
014	HG01990.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n269616903	269616903	1.0	0.0	0.1511
015	HG02010.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n421130292	421130292	1.0	0.0	0.3195
016	HG01989.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n161200479	161200479	1.0	0.0	0.2736
017	HG01880.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n208995442	208995442	1.0	0.0	0.3272
018	HG02282.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n450100578	450100578	1.0	0.0	0.2118
019	HG02012.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n249313020	249313020	1.0	0.0	0.1685
020	HG01879.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n167134794	167134794	1.0	0.0	0.2264
021	HG02009.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n461891794	461891794	1.0	0.0	0.3568
022	HG01889.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n453709291	453709291	1.0	0.0	0.3911
023	HG02308.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n289326292	289326292	1.0	0.0	0.1475
024	HG02281.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n406676267	406676267	1.0	0.0	0.443
025	HG02143.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n223161416	223161416	1.0	0.0	0.1094
026	HG01956.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n286184120	286184120	1.0	0.0	0.1508
027	HG01915.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n168122171	168122171	1.0	0.0	0.3104
028	HG02052.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n355330742	355330742	1.0	0.0	0.905
029	HG01988.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n164093887	164093887	1.0	0.0	0.2789
030	HG02108.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n221771870	221771870	1.0	0.0	0.1278
031	HG02014.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n382697091	382697091	1.0	0.0	1.0
032	HG01985.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n227016146	227016146	1.0	0.0	0.2256
033	HG02309.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n203271864	203271864	1.0	0.0	0.1004
034	HG02255.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n142688215	142688215	1.0	0.0	0.3716
035	HG02054.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n133149707	133149707	1.0	0.0	0.3757
036	HG02013.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n230560150	230560150	1.0	0.0	0.2552
037	HG01896.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n164988142	164988142	1.0	0.0	0.2817
038	HG01882.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n273960773	273960773	1.0	0.0	0.1727
039	HG01894.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n179295886	179295886	1.0	0.0	0.2829
040	HG01914.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n217190841	217190841	1.0	0.0	0.176
041	HG01986.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n231422574	231422574	1.0	0.0	0.2566
042	Gamba2014_SRR1187681.sorted.md_classic_n31821	31821	0.0	1.0	0.4287
043	Gamba2014_SRR1187679.sorted.md_classic_n2514	2514	0.0	1.0	0.2882
044	skoglund_ERR476787.sorted.md_classic_n26583818	26583818	0.0	1.0	0.7666
045	Lazaridis2016_I1945.1240k_classic_n1293912	1293912	0.0	1.0	0.5349
046	skoglund_ERR476790.sorted.md_classic_n383135	383135	0.0	1.0	0.4992
047	Lazaridis2016_I1665.1240k_classic_n10179323	10179323	0.0	1.0	0.4503
048	Lazaridis2016_I1679.1240k_classic_n276056	276056	0.0	1.0	0.4438
049	Gamba2014_SRR1187678.sorted.md_classic_n6882228	6882228	0.0	1.0	0.2198
050	Lazaridis2016_I1707.1240k_classic_n1095732	1095732	0.0	1.0	0.4298
051	Lazaridis2016_I1671.1240k_classic_n4560608	4560608	0.0	1.0	0.422
052	skoglund_ERR476789.sorted.md_classic_n916001	916001	0.0	1.0	0.4818
053	Lazaridis2016_I1632.1240k_classic_n15130847	15130847	0.0	1.0	0.5169
054	Lazaridis2016_I1944.1240k_classic_n290719	290719	0.0	1.0	0.7041
