SampleID	SampleName	AlignedFrags	Cluster1	Cluster2	ClusterCenterDist
0001	VLC_EMN_TAF_min10k_sorted_md_k141_126204_n2985	2985	1.0	0.0	0.1369
0002	VLC_EMN_TAF_min10k_sorted_md_k141_47575_n13916	13916	1.0	0.0	0.0768
0003	VLC_EMN_TAF_min10k_sorted_md_k141_19749_n1868	1868	1.0	0.0	0.1572
0004	VLC_EMN_TAF_min10k_sorted_md_k141_224793_n4241	4241	1.0	0.0	0.1191
0005	VLC_EMN_TAF_min10k_sorted_md_k141_215750_n4934	4934	1.0	0.0	0.172
0006	VLC_EMN_TAF_min10k_sorted_md_k141_13649_n1780	1780	1.0	0.0	0.197
0007	VLC_EMN_TAF_min10k_sorted_md_k141_23770_n5078	5078	1.0	0.0	0.1615
0008	VLC_EMN_TAF_min10k_sorted_md_k141_122235_n8088	8088	1.0	0.0	0.157
0009	VLC_EMN_TAF_min10k_sorted_md_k141_27105_n1780	1780	1.0	0.0	0.3485
0010	VLC_EMN_TAF_min10k_sorted_md_k141_70560_n2367	2367	1.0	0.0	0.2206
0011	VLC_EMN_TAF_min10k_sorted_md_k141_80385_n2492	2492	1.0	0.0	0.2022
0012	VLC_EMN_TAF_min10k_sorted_md_k141_179052_n5922	5922	1.0	0.0	0.2285
0013	VLC_EMN_TAF_min10k_sorted_md_k141_64973_n5978	5978	1.0	0.0	0.1125
0014	VLC_EMN_TAF_min10k_sorted_md_k141_92009_n1472	1472	1.0	0.0	0.5641
0015	VLC_EMN_TAF_min10k_sorted_md_k141_201293_n1513	1513	1.0	0.0	0.187
0016	VLC_EMN_TAF_min10k_sorted_md_k141_28904_n8280	8280	1.0	0.0	0.1105
0017	VLC_EMN_TAF_min10k_sorted_md_k141_25523_n2605	2605	1.0	0.0	0.1607
0018	VLC_EMN_TAF_min10k_sorted_md_k141_11296_n8763	8763	1.0	0.0	0.054
0019	VLC_EMN_TAF_min10k_sorted_md_k141_24970_n2104	2104	1.0	0.0	0.1644
0020	VLC_EMN_TAF_min10k_sorted_md_k141_166928_n2807	2807	1.0	0.0	0.1696
0021	VLC_EMN_TAF_min10k_sorted_md_k141_48610_n6854	6854	1.0	0.0	0.172
0022	VLC_EMN_TAF_min10k_sorted_md_k141_79944_n2126	2126	1.0	0.0	0.268
0023	VLC_EMN_TAF_min10k_sorted_md_k141_54125_n9877	9877	1.0	0.0	0.1082
0024	VLC_EMN_TAF_min10k_sorted_md_k141_159631_n17383	17383	1.0	0.0	0.5057
0025	VLC_EMN_TAF_min10k_sorted_md_k141_5023_n4358	4358	1.0	0.0	0.412
0026	VLC_EMN_TAF_min10k_sorted_md_k141_33649_n10589	10589	1.0	0.0	0.1156
0027	VLC_EMN_TAF_min10k_sorted_md_k141_177949_n11916	11916	1.0	0.0	0.1352
0028	VLC_EMN_TAF_min10k_sorted_md_k141_20703_n2839	2839	1.0	0.0	0.1806
0029	VLC_EMN_TAF_min10k_sorted_md_k141_182665_n6130	6130	1.0	0.0	0.1587
0030	VLC_EMN_TAF_min10k_sorted_md_k141_45167_n2453	2453	1.0	0.0	0.1536
0031	VLC_EMN_TAF_min10k_sorted_md_k141_174639_n2060	2060	1.0	0.0	0.2088
0032	VLC_EMN_TAF_min10k_sorted_md_k141_157658_n4299	4299	1.0	0.0	0.1799
0033	VLC_EMN_TAF_min10k_sorted_md_k141_109592_n4007	4007	1.0	0.0	0.1407
0034	VLC_EMN_TAF_min10k_sorted_md_k141_136256_n9016	9016	1.0	0.0	0.1552
0035	VLC_EMN_TAF_min10k_sorted_md_k141_114577_n16227	16227	1.0	0.0	0.0942
0036	VLC_EMN_TAF_min10k_sorted_md_k141_115883_n4824	4824	1.0	0.0	0.2131
0037	VLC_EMN_TAF_min10k_sorted_md_k141_16018_n8445	8445	1.0	0.0	0.1881
0038	VLC_EMN_TAF_min10k_sorted_md_k141_158447_n1785	1785	1.0	0.0	0.2043
0039	VLC_EMN_TAF_min10k_sorted_md_k141_149828_n5558	5558	1.0	0.0	0.5106
0040	VLC_EMN_TAF_min10k_sorted_md_k141_210024_n5739	5739	1.0	0.0	0.2095
0041	VLC_EMN_TAF_min10k_sorted_md_k141_82612_n8673	8673	1.0	0.0	0.0867
0042	VLC_EMN_TAF_min10k_sorted_md_k141_152745_n5284	5284	1.0	0.0	0.1566
0043	VLC_EMN_TAF_min10k_sorted_md_k141_114261_n1200	1200	1.0	0.0	0.6458
0044	VLC_EMN_TAF_min10k_sorted_md_k141_153380_n5205	5205	1.0	0.0	0.1147
0045	VLC_EMN_TAF_min10k_sorted_md_k141_27630_n3449	3449	1.0	0.0	0.1446
0046	VLC_EMN_TAF_min10k_sorted_md_k141_171952_n4594	4594	1.0	0.0	0.1658
0047	VLC_EMN_TAF_min10k_sorted_md_k141_189165_n3765	3765	1.0	0.0	0.1434
0048	VLC_EMN_TAF_min10k_sorted_md_k141_205968_n13105	13105	1.0	0.0	0.1138
0049	VLC_EMN_TAF_min10k_sorted_md_k141_168706_n3958	3958	1.0	0.0	0.1978
0050	VLC_EMN_TAF_min10k_sorted_md_k141_55818_n2195	2195	1.0	0.0	0.265
0051	VLC_EMN_TAF_min10k_sorted_md_k141_15322_n1975	1975	1.0	0.0	0.1814
0052	VLC_EMN_TAF_min10k_sorted_md_k141_217229_n1537	1537	1.0	0.0	0.2788
0053	VLC_EMN_TAF_min10k_sorted_md_k141_171661_n4327	4327	1.0	0.0	0.1268
0054	VLC_EMN_TAF_min10k_sorted_md_k141_204610_n4341	4341	1.0	0.0	0.6573
0055	VLC_EMN_TAF_min10k_sorted_md_k141_95045_n4533	4533	1.0	0.0	0.1591
0056	VLC_EMN_TAF_min10k_sorted_md_k141_145025_n4533	4533	1.0	0.0	0.1543
0057	VLC_EMN_TAF_min10k_sorted_md_k141_21105_n2371	2371	1.0	0.0	0.2089
0058	VLC_EMN_TAF_min10k_sorted_md_k141_49645_n9649	9649	1.0	0.0	0.2168
0059	VLC_EMN_TAF_min10k_sorted_md_k141_90799_n11208	11208	1.0	0.0	0.5985
0060	VLC_EMN_TAF_min10k_sorted_md_k141_214620_n1550	1550	1.0	0.0	0.2154
0061	VLC_EMN_TAF_min10k_sorted_md_k141_151249_n2076	2076	1.0	0.0	0.1868
0062	VLC_EMN_TAF_min10k_sorted_md_k141_111405_n4032	4032	1.0	0.0	0.1389
0063	VLC_EMN_TAF_min10k_sorted_md_k141_206880_n10769	10769	1.0	0.0	0.0922
