Reference	EMN001	TAF017	VLC001
k141_67490	48	348	5006
k141_17777	0	2	2700
k141_166928	4	5	2798
k141_156287	2	2	2094
k141_81708	1	3	3733
k141_124342	21	0	1322
k141_216654	2809	58	2762
k141_95943	19	11	1978
k141_134977	889	549	1539
k141_174088	2386	9	2252
k141_71041	1299	840	28796
k141_213105	0	2	1061
k141_152745	1	29	5258
k141_191807	54	51	9799
k141_181169	0	31	9545
k141_163405	14	8	2246
k141_209587	6	39	1496
k141_60444	865	328	4630
k141_67541	3129	1	0
k141_35569	65	23	5341
k141_63985	236	248	10889
k141_24970	25	3	2078
k141_117272	2	12	2887
k141_32079	3773	72	3523
k141_17868	0	0	4421
k141_88889	650	220	2937
k141_7204	294	385	2883
k141_3636	5	10	3213
k141_127952	1	38	3249
k141_159875	4	70	15275
k141_92398	0	2	12813
k141_24983	2908	17486	0
k141_198972	17	12	3188
k141_35581	235	500	2640
k141_46224	0	15	13366
k141_170543	7	0	1053
k141_206076	395	263	10501
k141_181226	0	0	2238
k141_99555	2214	0	0
k141_7206	0	3	1049
k141_191833	1393	525	9264
k141_28494	101	39	4514
k141_145718	468	289	1014
k141_53382	6	17	3767
k141_174174	0	18	3367
k141_124422	12	26	3420
k141_49842	0	4	848
k141_95986	111	75	14229
k141_14275	810	397	5913
k141_209633	49	0	761
k141_110269	508	311	768
k141_56927	13	96	2217
k141_198989	3174	0	0
k141_188329	0	57	13407
k141_67615	2	30	4408
k141_181234	0	0	10171
k141_149318	27	10	2354
k141_85416	13	2	1208
k141_113776	3	2	3942
k141_28504	167	123	7583
k141_152822	190	232	2029
k141_3659	75	778	7902
k141_42717	10780	0	0
k141_32137	64	829	7361
k141_78257	678	636	4325
k141_120900	7	2	3065
k141_71120	1754	559	6005
k141_145761	198	19	1601
k141_17947	0	0	2193
k141_60494	9	25	1877
k141_21448	179	93	13089
k141_163444	1740	525	8333
k141_46258	0	0	5977
k141_74765	3	21	5110
k141_198998	3710	22585	0
k141_64046	349	537	3950
k141_67621	0	0	3381
k141_35654	1	0	856
k141_56961	0	0	2384
k141_81774	382	284	33264
k141_223871	0	0	4976
k141_103210	27	27	4456
k141_120907	0	2	964
k141_113786	153	159	5596
k141_131606	679	473	949
k141_17965	41	402	5862
k141_188381	701	510	911
k141_32157	0	1	4912
k141_106671	108	65	15140
k141_25114	0	0	6474
k141_53417	1505	623	9365
k141_14318	0	3	2735
k141_138681	1	0	15249
k141_110335	2	0	943
k141_220332	24	2	4118
k141_195527	336	405	19155
k141_145804	1964	11893	0
k141_67637	3387	28	3296
k141_167092	10	25	4520
k141_56966	0	0	2845
k141_88992	855	352	5569
k141_103241	297	203	7442
k141_213220	33	67	10943
k141_128039	5	1	7372
k141_174258	19	26	9842
k141_39370	81	56	2767
k141_46287	1029	413	5151
k141_191946	90	39	6765
k141_96034	10760	107	10426
k141_184932	5	33	4974
k141_81816	2157	37	2221
k141_32176	143	574	7188
k141_103253	3616	22374	3
k141_60552	0	0	9997
k141_99665	961	772	1497
k141_206184	6	55	9979
k141_14345	55	21	1824
k141_188423	302	413	3755
k141_56979	392	329	11974
k141_156584	1	0	900
k141_74859	3836	22921	0
k141_7334	568	384	779
k141_3732	183	261	2570
k141_28572	1	0	2762
k141_64056	142	152	26852
k141_128059	5567	24940	1
k141_10917	0	129	9753
k141_174318	114	233	4616
k141_213240	364	578	4110
k141_181340	89	598	5934
k141_35788	2	1	6487
k141_167160	0	46	4490
k141_220398	455	384	821
k141_67740	24	11	1432
k141_163543	10	25	3208
k141_216954	32	8	2802
k141_99688	5427	46	5469
k141_138757	7	28	7402
k141_199124	3744	29	3248
k141_85419	515	340	42120
k141_184980	2366	0	0
k141_110394	640	233	8870
k141_149460	7	74	5057
k141_145906	389	7	4002
k141_174355	0	24	5098
k141_213271	2	0	850
k141_202769	499	1	1888
k141_103338	613	227	4542
k141_96121	2554	18	2553
k141_110409	9	71	1547
k141_192022	0	0	7400
k141_28623	11	32	4812
k141_216966	6	41	2317
k141_152974	0	1	2700
k141_81896	27	270	4095
k141_89078	357	445	5864
k141_117491	219	292	2962
k141_145924	0	1	2186
k141_209794	684	212	3830
k141_67768	3121	8	3030
k141_46386	6	11	624
k141_42973	0	49	5685
k141_145931	3	43	4037
k141_220449	1	6	4745
k141_131803	10	23	5691
k141_202793	1	34	6506
k141_85450	10	8	7410
k141_224012	3	0	2042
k141_206240	51	79	17269
k141_152982	3773	21960	0
k141_14456	3	16	988
k141_170740	1	5	15773
k141_128146	192	171	4451
k141_156742	29	12	1564
k141_50100	2018	13062	0
k141_135268	911	596	28065
k141_78462	105	263	2110
k141_167262	54	15	2591
k141_174447	7	45	1412
k141_57094	91	23	3975
k141_131818	4042	0	0
k141_43007	1	3	2726
k141_99788	0	2	812
k141_209844	0	0	2372
k141_50104	7	53	6027
k141_121107	8	33	6686
k141_7476	0	277	2597
k141_185099	0	0	721
k141_43016	47	51	2645
k141_202865	2772	0	1
k141_110514	4	21	4945
k141_149566	1	9	3785
k141_213379	0	2	984
k141_124755	10	1	5906
k141_181468	396	609	6015
k141_92659	89	52	4455
k141_110519	16	5	3585
k141_28740	104	150	3716
k141_188630	281	334	3027
k141_53703	6	1	2206
k141_177949	0	0	11916
k141_103490	125	97	1495
k141_156847	175	259	1997
k141_195805	2	92	8761
k141_174543	3057	17330	44
k141_153103	511	212	3638
k141_181505	107	172	3618
k141_220518	43	1	7109
k141_121168	2820	0	0
k141_163729	3015	0	3
k141_64258	0	0	52446
k141_11186	93	36	4383
k141_99890	26	55	6673
k141_103498	373	292	3441
k141_75073	12386	70624	0
k141_117620	0	64	8361
k141_3959	0	18	3883
k141_156868	6231	0	0
k141_174565	0	0	1696
k141_18307	0	0	1265
k141_224095	1	0	4341
k141_50202	684	343	4590
k141_206275	449	238	19535
k141_14605	0	0	5128
k141_89243	317	403	3421
k141_181538	79	0	640
k141_217145	412	583	4819
k141_195851	3362	70	3074
k141_106957	2	0	1997
k141_128299	49	12	1914
k141_7616	371	177	3576
k141_167364	1440	651	8187
k141_21869	11	52	3726
k141_25523	1	2	2603
k141_57200	857	255	2833
k141_14611	4	3	2051
k141_36044	4	35	5528
k141_209957	1	5	2159
k141_135389	13	95	2844
k141_195857	0	26	2736
k141_64302	33	112	4370
k141_18330	4	0	7182
k141_39747	2	1	3445
k141_737	23	2	3044
k141_156906	42	40	7782
k141_82150	113	89	5248
k141_78606	2	1	2520
k141_174607	0	34	5092
k141_181546	12	29	7397
k141_131998	9	43	8740
k141_11195	145	99	19889
k141_146115	689	284	3877
k141_121212	0	4	1463
k141_142610	415	208	3364
k141_199364	4	51	9432
k141_206306	16	13	6635
k141_153195	2	2	1618
k141_96410	1085	362	4466
k141_36084	20	3	3769
k141_32531	178	94	7703
k141_213549	1	0	720
k141_160315	1009	384	6320
k141_28891	0	0	8973
k141_185219	126	191	1550
k141_99961	0	0	6415
k141_32532	205	184	8951
k141_163819	421	236	3452
k141_114020	477	323	45120
k141_135429	2	4	3049
k141_142635	39	21	3111
k141_68034	0	95	14398
k141_217229	7	37	1493
k141_174639	1	0	2059
k141_799	29	144	3453
k141_85648	84	24	1511
k141_185221	0	0	1017
k141_224173	1	33	1791
k141_210024	150	166	5424
k141_156967	9	44	1752
k141_181598	40	8	5333
k141_121254	3	0	3027
k141_107036	624	237	3361
k141_178090	0	1	9100
k141_185233	541	171	2826
k141_146181	604	235	4109
k141_220647	5	28	4308
k141_64412	3111	0	0
k141_124976	151	19	969
k141_28904	17	52	8212
k141_192234	716	478	55542
k141_89334	39	90	18223
k141_174679	17	37	6245
k141_185245	261	144	2720
k141_39887	2	0	1833
k141_14699	0	3	1425
k141_195920	279	228	27215
k141_153244	13	51	7935
k141_25635	12	32	5991
k141_75276	38	5	3442
k141_68108	129	117	3822
k141_11296	8	90	8665
k141_4136	42	27	2069
k141_114078	1	5	5627
k141_217309	17	2	2581
k141_128443	0	2	889
k141_174734	3	21	4312
k141_149828	5	1	5556
k141_139112	46	14	2839
k141_117793	3330	17	3239
k141_57307	39	93	15131
k141_71668	29	15	3102
k141_61055	0	4	1480
k141_185288	3	0	1395
k141_135523	75	27	2578
k141_85704	0	24	7070
k141_132151	4730	37	4060
k141_188939	5	0	2471
k141_153262	5150	42	4613
k141_206420	2179	852	10086
k141_167491	0	136	15383
k141_39954	3830	0	4
k141_195962	20	19	7275
k141_146263	3	6	4601
k141_224279	1610	10729	0
k141_210150	401	377	12925
k141_114092	0	4	16045
k141_82256	497	366	40160
k141_92871	25	9	24844
k141_43476	0	0	801
k141_195972	0	0	4776
k141_199553	6	42	1939
k141_188970	9	1	1251
k141_61078	2	14	9248
k141_85726	74	29	5212
k141_206460	509	182	2665
k141_217381	1	53	9124
k141_174808	438	173	3057
k141_195986	6	35	4119
k141_46860	95	44	6810
k141_57340	1	0	15457
k141_43503	56	19	2870
k141_82301	279	236	7163
k141_210168	151	102	5747
k141_128531	10	23	5635
k141_125116	0	12	6797
k141_32735	2925	18	2768
k141_107178	1	25	5317
k141_68241	6	1	2616
k141_203328	17	2	1147
k141_89481	3	1	2743
k141_206502	210	204	10701
k141_54099	11	0	12730
k141_32742	586	317	898
k141_14837	9	62	2894
k141_146332	5	63	7075
k141_210193	0	0	2080
k141_43543	1	5	1536
k141_40069	4296	24983	0
k141_64635	5257	0	1
k141_167592	3	43	5008
k141_14838	35	5	3857
k141_153374	0	122	12011
k141_22158	0	2	2192
k141_11472	9	48	1432
k141_43563	19	4	4298
k141_125136	14	55	10664
k141_203343	0	36	10070
