SampleID	SampleName	AlignedFrags	Cluster1	Cluster2	Cluster3	Cluster4	ClusterCenterDist	EMN001	TAF017	VLC001
0001	VLC_EMN_TAF_min10k_sorted_md_k141_162419_n1339	1339	1.0	0.0	0.0	0.0	0.4539	0	4	1335
0002	VLC_EMN_TAF_min10k_sorted_md_k141_185221_n1017	1017	1.0	0.0	0.0	0.0	1.0	0	0	1017
0003	VLC_EMN_TAF_min10k_sorted_md_k141_38199_n3308	3308	1.0	0.0	0.0	0.0	0.5152	3	0	3310
0004	VLC_EMN_TAF_min10k_sorted_md_k141_172930_n1524	1524	1.0	0.0	0.0	0.0	0.5252	3	2	1519
0005	VLC_EMN_TAF_min10k_sorted_md_k141_43938_n1159	1159	1.0	0.0	0.0	0.0	0.8738	0	0	1159
0006	VLC_EMN_TAF_min10k_sorted_md_k141_159560_n1069	1069	1.0	0.0	0.0	0.0	0.5912	5	0	1064
0007	VLC_EMN_TAF_min10k_sorted_md_k141_53240_n1547	1547	1.0	0.0	0.0	0.0	0.6127	30	8	1509
0008	VLC_EMN_TAF_min10k_sorted_md_k141_204947_n1310	1310	1.0	0.0	0.0	0.0	0.7674	9	31	1271
0009	VLC_EMN_TAF_min10k_sorted_md_k141_81049_n5609	5609	1.0	0.0	0.0	0.0	0.4371	1	0	5608
0010	VLC_EMN_TAF_min10k_sorted_md_k141_148975_n1769	1769	1.0	0.0	0.0	0.0	0.4681	0	5	1764
0011	VLC_EMN_TAF_min10k_sorted_md_k141_65470_n6948	6948	1.0	0.0	0.0	0.0	0.2804	0	24	6925
0012	VLC_EMN_TAF_min10k_sorted_md_k141_173305_n1580	1580	1.0	0.0	0.0	0.0	0.7223	4	56	1520
0013	VLC_EMN_TAF_min10k_sorted_md_k141_30564_n7461	7461	1.0	0.0	0.0	0.0	0.2925	2	0	7460
0014	VLC_EMN_TAF_min10k_sorted_md_k141_5678_n1025	1025	1.0	0.0	0.0	0.0	0.8005	1	3	1021
0015	VLC_EMN_TAF_min10k_sorted_md_k141_213105_n1062	1062	1.0	0.0	0.0	0.0	0.7288	0	2	1061
0016	VLC_EMN_TAF_min10k_sorted_md_k141_215876_n1983	1983	1.0	0.0	0.0	0.0	0.4708	0	0	1983
0017	VLC_EMN_TAF_min10k_sorted_md_k141_31527_n13377	13377	1.0	0.0	0.0	0.0	0.1947	11	21	13345
0018	VLC_EMN_TAF_min10k_sorted_md_k141_135687_n9653	9653	1.0	0.0	0.0	0.0	0.3297	0	4	9649
0019	VLC_EMN_TAF_min10k_sorted_md_k141_77698_n2891	2891	1.0	0.0	0.0	0.0	0.4365	3	15	2876
0020	VLC_EMN_TAF_min10k_sorted_md_k141_75679_n1396	1396	1.0	0.0	0.0	0.0	0.4495	1	3	1393
0021	VLC_EMN_TAF_min10k_sorted_md_k141_193234_n1349	1349	1.0	0.0	0.0	0.0	0.4666	0	0	1349
0022	VLC_EMN_TAF_min10k_sorted_md_k141_114092_n16029	16029	1.0	0.0	0.0	0.0	0.402	0	4	16045
0023	VLC_EMN_TAF_min10k_sorted_md_k141_102880_n4074	4074	1.0	0.0	0.0	0.0	0.2701	1	0	4074
0024	VLC_EMN_TAF_min10k_sorted_md_k141_114078_n5630	5630	1.0	0.0	0.0	0.0	0.4937	1	5	5627
0025	VLC_EMN_TAF_min10k_sorted_md_k141_96823_n1009	1009	1.0	0.0	0.0	0.0	0.6914	0	2	1009
0026	VLC_EMN_TAF_min10k_sorted_md_k141_49096_n5391	5391	1.0	0.0	0.0	0.0	0.2193	1	0	5391
0027	VLC_EMN_TAF_min10k_sorted_md_k141_87192_n1066	1066	1.0	0.0	0.0	0.0	0.6987	0	2	1064
0028	VLC_EMN_TAF_min10k_sorted_md_k141_109063_n3699	3699	1.0	0.0	0.0	0.0	0.3571	0	0	3710
0029	VLC_EMN_TAF_min10k_sorted_md_k141_154869_n1113	1113	1.0	0.0	0.0	0.0	0.5372	0	2	1111
0030	VLC_EMN_TAF_min10k_sorted_md_k141_27105_n1780	1780	1.0	0.0	0.0	0.0	0.426	0	6	1799
0031	VLC_EMN_TAF_min10k_sorted_md_k141_184243_n4370	4370	1.0	0.0	0.0	0.0	0.3518	1	0	4374
0032	VLC_EMN_TAF_min10k_sorted_md_k141_168732_n10640	10640	1.0	0.0	0.0	0.0	0.3042	0	12	10633
0033	VLC_EMN_TAF_min10k_sorted_md_k141_82510_n1025	1025	1.0	0.0	0.0	0.0	0.6809	0	2	1027
0034	VLC_EMN_TAF_min10k_sorted_md_k141_26139_n1013	1013	1.0	0.0	0.0	0.0	0.5536	0	0	1014
0035	VLC_EMN_TAF_min10k_sorted_md_k141_52728_n2278	2278	1.0	0.0	0.0	0.0	0.4865	1	0	2278
0036	VLC_EMN_TAF_min10k_sorted_md_k141_36562_n1101	1101	1.0	0.0	0.0	0.0	0.5133	0	4	1098
0037	VLC_EMN_TAF_min10k_sorted_md_k141_118547_n1183	1183	1.0	0.0	0.0	0.0	0.7518	2	0	1183
0038	VLC_EMN_TAF_min10k_sorted_md_k141_12813_n11232	11232	1.0	0.0	0.0	0.0	0.3358	1	14	11221
0039	VLC_EMN_TAF_min10k_sorted_md_k141_44141_n5376	5376	1.0	0.0	0.0	0.0	0.2977	5	0	5371
0040	VLC_EMN_TAF_min10k_sorted_md_k141_206786_n6181	6181	1.0	0.0	0.0	0.0	0.3431	1	32	6148
0041	VLC_EMN_TAF_min10k_sorted_md_k141_191295_n6645	6645	1.0	0.0	0.0	0.0	0.3003	1	0	6645
0042	VLC_EMN_TAF_min10k_sorted_md_k141_222170_n7153	7153	1.0	0.0	0.0	0.0	0.3434	3	5	7146
0043	VLC_EMN_TAF_min10k_sorted_md_k141_163543_n3243	3243	1.0	0.0	0.0	0.0	0.4484	10	25	3208
0044	VLC_EMN_TAF_min10k_sorted_md_k141_114261_n1200	1200	1.0	0.0	0.0	0.0	0.6655	0	0	1200
0045	VLC_EMN_TAF_min10k_sorted_md_k141_162352_n1362	1362	1.0	0.0	0.0	0.0	0.6286	3	19	1340
0046	VLC_EMN_TAF_min10k_sorted_md_k141_89616_n1083	1083	1.0	0.0	0.0	0.0	0.6852	0	3	1080
0047	VLC_EMN_TAF_min10k_sorted_md_k141_130738_n1761	1761	1.0	0.0	0.0	0.0	0.5768	9	14	1738
0048	VLC_EMN_TAF_min10k_sorted_md_k141_92871_n24877	24877	1.0	0.0	0.0	0.0	0.2748	25	9	24844
0049	VLC_EMN_TAF_min10k_sorted_md_k141_85450_n7428	7428	1.0	0.0	0.0	0.0	0.2889	10	8	7410
0050	VLC_EMN_TAF_min10k_sorted_md_k141_192547_n5420	5420	1.0	0.0	0.0	0.0	0.4876	0	38	5382
0051	VLC_EMN_TAF_min10k_sorted_md_k141_190943_n1581	1581	1.0	0.0	0.0	0.0	0.9223	1	66	1515
0052	VLC_EMN_TAF_min10k_sorted_md_k141_170740_n15761	15761	1.0	0.0	0.0	0.0	0.1599	1	5	15773
0053	VLC_EMN_TAF_min10k_sorted_md_k141_121212_n1467	1467	1.0	0.0	0.0	0.0	0.468	0	4	1463
0054	VLC_EMN_TAF_min10k_sorted_md_k141_198124_n2364	2364	1.0	0.0	0.0	0.0	0.5114	0	0	2364
0055	VLC_EMN_TAF_min10k_sorted_md_k141_201770_n11662	11662	1.0	0.0	0.0	0.0	0.4202	0	0	11662
0056	VLC_EMN_TAF_min10k_sorted_md_k141_109638_n5472	5472	1.0	0.0	0.0	0.0	0.2405	3	5	5464
0057	VLC_EMN_TAF_min10k_sorted_md_k141_8371_n10561	10561	1.0	0.0	0.0	0.0	0.1767	15	1	10551
0058	VLC_EMN_TAF_min10k_sorted_md_k141_76771_n1416	1416	1.0	0.0	0.0	0.0	0.793	0	0	1416
0059	VLC_EMN_TAF_min10k_sorted_md_k141_115969_n10829	10829	1.0	0.0	0.0	0.0	0.3503	10	22	10800
0060	VLC_EMN_TAF_min10k_sorted_md_k141_7206_n1052	1052	1.0	0.0	0.0	0.0	0.5565	0	3	1049
0061	VLC_EMN_TAF_min10k_sorted_md_k141_18307_n1265	1265	1.0	0.0	0.0	0.0	0.7769	0	0	1265
0062	VLC_EMN_TAF_min10k_sorted_md_k141_54099_n12741	12741	1.0	0.0	0.0	0.0	0.4271	11	0	12730
0063	VLC_EMN_TAF_min10k_sorted_md_k141_133789_n6948	6948	1.0	0.0	0.0	0.0	0.3082	1	10	6938
0064	VLC_EMN_TAF_min10k_sorted_md_k141_149828_n5558	5558	1.0	0.0	0.0	0.0	0.2822	5	1	5556
0065	VLC_EMN_TAF_min10k_sorted_md_k141_122504_n5323	5323	1.0	0.0	0.0	0.0	0.3835	2	0	5322
0066	VLC_EMN_TAF_min10k_sorted_md_k141_154962_n9690	9690	1.0	0.0	0.0	0.0	0.3759	0	0	9691
0067	VLC_EMN_TAF_min10k_sorted_md_k141_108886_n12059	12059	1.0	0.0	0.0	0.0	0.2646	8	26	12029
0068	VLC_EMN_TAF_min10k_sorted_md_k141_150718_n25223	25223	1.0	0.0	0.0	0.0	0.2619	6	21	25201
0069	VLC_EMN_TAF_min10k_sorted_md_k141_161843_n1145	1145	1.0	0.0	0.0	0.0	0.5033	3	33	1111
0070	VLC_EMN_TAF_min10k_sorted_md_k141_215429_n1217	1217	1.0	0.0	0.0	0.0	0.7186	0	2	1215
0071	VLC_EMN_TAF_min10k_sorted_md_k141_66067_n1655	1655	1.0	0.0	0.0	0.0	0.6852	6	49	1600
0072	VLC_EMN_TAF_min10k_sorted_md_k141_180244_n12781	12781	1.0	0.0	0.0	0.0	0.1783	7	10	12764
0073	VLC_EMN_TAF_min10k_sorted_md_k141_83821_n4378	4378	1.0	0.0	0.0	0.0	0.2825	0	8	4372
0074	VLC_EMN_TAF_min10k_sorted_md_k141_200862_n1283	1283	1.0	0.0	0.0	0.0	0.4208	0	3	1281
0075	VLC_EMN_TAF_min10k_sorted_md_k141_92009_n1472	1472	1.0	0.0	0.0	0.0	0.6054	2	20	1450
0076	VLC_EMN_TAF_min10k_sorted_md_k141_79483_n3959	3959	1.0	0.0	0.0	0.0	0.4661	5	0	3954
0077	VLC_EMN_TAF_min10k_sorted_md_k141_115558_n2082	2082	1.0	0.0	0.0	0.0	0.5591	1	0	2083
0078	VLC_EMN_TAF_min10k_sorted_md_k141_194754_n1018	1018	1.0	0.0	0.0	0.0	0.6822	8	6	1004
0079	VLC_EMN_TAF_min10k_sorted_md_k141_222867_n5090	5090	1.0	0.0	0.0	0.0	0.275	3	1	5086
0080	VLC_EMN_TAF_min10k_sorted_md_k141_100703_n5110	5110	1.0	0.0	0.0	0.0	0.2652	0	0	5116
0081	VLC_EMN_TAF_min10k_sorted_md_k141_86336_n13970	13970	1.0	0.0	0.0	0.0	0.2478	18	25	13929
0082	VLC_EMN_TAF_min10k_sorted_md_k141_62123_n4125	4125	1.0	0.0	0.0	0.0	0.2036	0	10	4118
0083	VLC_EMN_TAF_min10k_sorted_md_k141_123798_n5772	5772	1.0	0.0	0.0	0.0	0.2091	36	7	5734
0084	VLC_EMN_TAF_min10k_sorted_md_k141_83102_n7227	7227	1.0	0.0	0.0	0.0	0.3011	4	0	7225
0085	VLC_EMN_TAF_min10k_sorted_md_k141_204610_n4341	4341	1.0	0.0	0.0	0.0	0.5947	1	0	4341
0086	VLC_EMN_TAF_min10k_sorted_md_k141_221207_n8987	8987	1.0	0.0	0.0	0.0	0.4177	6	1	8982
0087	VLC_EMN_TAF_min10k_sorted_md_k141_202035_n1644	1644	1.0	0.0	0.0	0.0	0.5836	0	0	1645
0088	VLC_EMN_TAF_min10k_sorted_md_k141_191574_n1558	1558	1.0	0.0	0.0	0.0	0.6278	0	0	1558
0089	VLC_EMN_TAF_min10k_sorted_md_k141_45778_n1368	1368	1.0	0.0	0.0	0.0	0.5506	0	1	1367
0090	VLC_EMN_TAF_min10k_sorted_md_k141_206240_n17398	17398	1.0	0.0	0.0	0.0	0.2008	51	79	17269
0091	VLC_EMN_TAF_min10k_sorted_md_k141_192022_n7395	7395	1.0	0.0	0.0	0.0	0.2653	0	0	7400
0092	VLC_EMN_TAF_min10k_sorted_md_k141_125802_n4545	4545	1.0	0.0	0.0	0.0	0.4053	0	0	4549
