SampleID	SampleName	AlignedFrags	Cluster1	Cluster2	Cluster3	Cluster4	Cluster5	ClusterCenterDist	EMN001	PYK001	TAF017	VLC001
0001	VLC_EMN_TAF_min5k_sorted_md_k141_192547_n5381	5381	1.0	0.0	0.0	0.0	0.0	0.5877	0	0	38	5343
0002	VLC_EMN_TAF_min5k_sorted_md_k141_159469_n1039	1039	1.0	0.0	0.0	0.0	0.0	0.7094	1	0	0	1038
0003	VLC_EMN_TAF_min5k_sorted_md_k141_124536_n1221	1221	1.0	0.0	0.0	0.0	0.0	0.4732	0	0	20	1201
0004	VLC_EMN_TAF_min5k_sorted_md_k141_38139_n2240	2240	1.0	0.0	0.0	0.0	0.0	0.4256	2	0	19	2222
0005	VLC_EMN_TAF_min5k_sorted_md_k141_18307_n1265	1265	1.0	0.0	0.0	0.0	0.0	0.7511	0	0	0	1265
0006	VLC_EMN_TAF_min5k_sorted_md_k141_48081_n1713	1713	1.0	0.0	0.0	0.0	0.0	0.4052	2	0	0	1712
0007	VLC_EMN_TAF_min5k_sorted_md_k141_110343_n3032	3032	1.0	0.0	0.0	0.0	0.0	0.2836	1	0	17	3014
0008	VLC_EMN_TAF_min5k_sorted_md_k141_172930_n1524	1524	1.0	0.0	0.0	0.0	0.0	0.3996	3	0	2	1519
0009	VLC_EMN_TAF_min5k_sorted_md_k141_9492_n2465	2465	1.0	0.0	0.0	0.0	0.0	0.7302	0	0	0	2465
0010	VLC_EMN_TAF_min5k_sorted_md_k141_161843_n1131	1131	1.0	0.0	0.0	0.0	0.0	0.4384	3	0	19	1109
0011	VLC_EMN_TAF_min5k_sorted_md_k141_211142_n1122	1122	1.0	0.0	0.0	0.0	0.0	0.5114	3	0	37	1082
0012	VLC_EMN_TAF_min5k_sorted_md_k141_208434_n2604	2604	1.0	0.0	0.0	0.0	0.0	0.4633	0	0	0	2604
0013	VLC_EMN_TAF_min5k_sorted_md_k141_60763_n1647	1647	1.0	0.0	0.0	0.0	0.0	0.7267	108	0	155	1384
0014	VLC_EMN_TAF_min5k_sorted_md_k141_34848_n1385	1385	1.0	0.0	0.0	0.0	0.0	0.4615	4	0	0	1382
0015	VLC_EMN_TAF_min5k_sorted_md_k141_204200_n1235	1235	1.0	0.0	0.0	0.0	0.0	0.7061	3	0	8	1226
