Reference	EMN001	PYK001	TAF017	VLC001
k141_156274	242	0	150	6466
k141_49729	15	0	3	684
k141_124324	0	0	0	2529
k141_14210	32	0	0	319
k141_113663	1	0	11	284
k141_67490	48	0	348	4987
k141_220196	5	0	1	1604
k141_17777	0	0	2	2700
k141_39096	0	0	0	193
k141_184690	108	0	99	1963
k141_170485	34	0	22	275
k141_181154	1115	0	1	1108
k141_103041	0	0	0	521
k141_166928	4	0	5	2792
k141_56850	23	0	81	2280
k141_213097	0	0	0	1096
k141_46185	1	0	0	776
k141_156287	2	0	2	2093
k141_81708	1	0	3	3690
k141_14212	0	0	0	828
k141_188247	370	0	140	2199
k141_163388	1	0	2	782
k141_195368	68	0	2	1582
k141_177597	0	0	0	1800
k141_92379	1	0	22	843
k141_28444	0	0	0	1422
k141_124342	20	0	0	1320
k141_138548	0	0	4	401
k141_110162	1	0	13	769
k141_156296	112	0	17	1308
k141_131443	19	0	211	2715
k141_216654	2809	0	58	2767
k141_24934	6	0	7	2734
k141_42647	2	0	3	311
k141_99482	0	0	0	660
k141_95943	19	0	11	1974
k141_209565	4	0	5	394
k141_117236	1	0	32	921
k141_124343	2	0	0	914
k141_206005	2	0	0	1158
k141_120793	6	0	10	712
k141_156298	21	0	8	1212
k141_145659	0	0	2	762
k141_134977	889	0	549	1539
k141_85287	5	0	13	334
k141_106587	18	0	5	318
k141_174088	2385	0	9	2250
k141_88838	17	0	18	337
k141_63972	6	0	1	869
k141_131449	0	0	6	2186
k141_163395	0	0	0	483
k141_71041	1298	0	840	28792
k141_3603	3	0	5	413
k141_213105	0	0	2	1060
k141_184715	2	0	0	391
k141_28454	1659	0	37	1353
k141_35557	136	0	256	3121
k141_56868	73	0	0	464
k141_138563	5	0	4	306
k141_46209	0	0	0	1816
k141_63974	93	0	160	2604
k141_10726	33	0	43	2670
k141_67537	0	0	25	746
k141_152745	1	0	29	5252
k141_177618	1	0	0	372
k141_14237	10	0	9	2673
k141_127916	1	0	0	819
k141_191807	55	0	51	9801
k141_24951	9	0	16	1747
k141_131454	0	0	5	1642
k141_110190	1059	0	246	5385
k141_181169	0	0	31	9545
k141_174106	304	0	46	1996
k141_17832	5	0	3	473
k141_28461	1467	0	0	0
k141_10732	2	0	19	1207
k141_188284	7	0	3	2660
k141_202489	0	0	9	1864
k141_145682	18	0	0	1490
k141_149247	105	0	15	1953
k141_103090	46	0	27	1985
k141_163405	14	0	8	2245
k141_124367	0	0	1	632
k141_220233	0	0	1	308
k141_170524	30	0	18	1522
k141_209587	6	0	39	1500
k141_21390	11	0	0	1658
k141_60444	864	0	328	4631
k141_81750	218	0	128	3370
k141_67541	3129	0	1	0
k141_35569	65	0	23	5341
k141_103096	0	0	0	485
k141_63985	236	0	248	10889
k141_39179	0	0	20	1836
k141_24970	23	0	3	2077
k141_145691	1786	0	0	0
k141_117272	2	0	12	2887
k141_32079	3761	0	72	3517
k141_78220	271	0	166	498
k141_10755	5	0	1	1036
k141_174141	0	0	0	243
k141_53369	1407	0	0	0
k141_60449	181	0	126	655
k141_152773	3	0	27	3088
k141_71072	110	0	5	2680
k141_106632	1	0	2	1214
k141_17868	0	0	0	4417
k141_223818	0	0	0	3437
k141_195451	1034	0	6455	15
k141_88889	650	0	220	2935
k141_7204	294	0	384	2882
k141_3636	5	0	10	3212
k141_156380	56	0	32	1259
k141_135029	0	0	0	283
k141_127952	1	0	38	3249
k141_53373	19	0	5	1102
k141_159875	4	0	70	15272
k141_177664	0	0	1	245
k141_145716	7	0	2	1064
k141_163431	6	0	5	2480
k141_195454	1459	0	0	0
k141_92398	0	0	1	12813
k141_103121	24	0	16	1143
k141_24983	2906	0	17475	0
k141_198972	16	0	12	3166
k141_39209	3	0	1	326
k141_35581	235	0	500	2640
k141_46224	0	0	15	13371
k141_170543	7	0	0	1052
k141_152794	2	0	5	2207
k141_74712	11	0	2	902
k141_206076	395	0	263	10500
k141_181226	0	0	0	2238
k141_99555	2214	0	0	0
k141_7206	0	0	3	1049
k141_191833	1386	0	525	9260
k141_113768	0	0	0	601
k141_135042	10	0	0	423
k141_28494	100	0	40	4517
k141_32124	19	0	22	1566
k141_92409	4	0	33	682
k141_145718	465	0	287	1014
k141_53382	6	0	16	3765
k141_64027	0	0	0	575
k141_60482	298	0	131	1368
k141_174174	0	0	18	3367
k141_124422	12	0	26	3415
k141_49842	0	0	4	848
k141_95986	111	0	75	14229
k141_135044	1	0	2	832
k141_14275	809	0	395	5906
k141_117319	0	0	0	757
k141_106652	0	0	0	1066
k141_209633	48	0	0	761
k141_10802	4	0	3	542
k141_110269	508	0	317	768
k141_35596	1335	0	8064	4
k141_127975	3019	0	994	25530
k141_56927	13	0	95	2199
k141_46238	28	0	5	1634
k141_198989	3174	0	0	0
k141_25020	3	0	3	1427
k141_60484	13	0	0	1701
k141_120890	1	0	0	501
